,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Cluster
10,1.0,42.0,1.0,5.0,5.0,3.0,0.0,0.0,31.0,5.0,3.0,2.0,6748.0,1467.0,5281.0,0.831,1201.0,42.0,0.68,0.217,2.0
14,1.0,57.0,0.0,2.0,2.0,1.0,4.0,0.0,48.0,5.0,2.0,2.0,2436.0,680.0,1756.0,1.19,1570.0,29.0,0.611,0.279,2.0
19,1.0,45.0,0.0,2.0,2.0,1.0,5.0,0.0,37.0,6.0,1.0,2.0,14470.0,1157.0,13313.0,0.966,1207.0,21.0,0.909,0.08,2.0
21,0.0,62.0,0.0,0.0,2.0,1.0,4.0,0.0,49.0,2.0,3.0,3.0,1438.3,0.0,1438.3,1.047,692.0,16.0,0.6,0.0,2.0
23,1.0,47.0,0.0,4.0,6.0,2.0,4.0,0.0,36.0,3.0,3.0,2.0,2492.0,1560.0,932.0,0.573,1126.0,23.0,0.353,0.626,2.0
24,1.0,54.0,1.0,2.0,6.0,1.0,3.0,0.0,42.0,4.0,2.0,3.0,12217.0,0.0,12217.0,1.075,1110.0,21.0,0.75,0.0,2.0
25,1.0,41.0,0.0,3.0,2.0,2.0,4.0,0.0,28.0,6.0,1.0,2.0,7768.0,1669.0,6099.0,0.797,1051.0,22.0,0.833,0.215,2.0
34,1.0,58.0,1.0,0.0,2.0,1.0,3.0,0.0,49.0,6.0,2.0,2.0,12555.0,1696.0,10859.0,0.519,1291.0,24.0,0.714,0.135,2.0
35,1.0,55.0,0.0,1.0,0.0,2.0,4.0,0.0,36.0,4.0,2.0,1.0,3520.0,1914.0,1606.0,0.51,1407.0,43.0,0.483,0.544,1.0
44,1.0,38.0,0.0,4.0,2.0,2.0,5.0,0.0,28.0,2.0,3.0,3.0,9830.0,2055.0,7775.0,0.977,1042.0,23.0,0.917,0.209,2.0
49,1.0,52.0,1.0,1.0,0.0,2.0,3.0,0.0,40.0,5.0,1.0,1.0,4745.0,1227.0,3518.0,0.624,1140.0,40.0,0.6,0.259,0.0
51,0.0,54.0,0.0,1.0,2.0,1.0,4.0,0.0,40.0,2.0,3.0,1.0,1438.3,808.0,630.3,0.997,705.0,19.0,0.9,0.562,0.0
54,0.0,56.0,1.0,2.0,2.0,1.0,0.0,0.0,36.0,1.0,3.0,3.0,15769.0,0.0,15769.0,1.041,602.0,15.0,0.364,0.0,2.0
55,1.0,49.0,0.0,4.0,2.0,3.0,4.0,0.0,36.0,6.0,4.0,2.0,3298.0,2200.0,1098.0,0.678,1052.0,32.0,0.6,0.667,2.0
60,1.0,55.0,1.0,3.0,6.0,1.0,3.0,0.0,47.0,4.0,2.0,3.0,3436.0,2016.0,1420.0,0.901,1097.0,33.0,0.833,0.587,0.0
62,1.0,39.0,1.0,1.0,3.0,0.0,2.0,0.0,33.0,5.0,3.0,3.0,5926.0,1251.0,4675.0,0.944,1316.0,28.0,1.154,0.211,0.0
64,1.0,53.0,1.0,2.0,3.0,2.0,0.0,0.0,44.0,4.0,2.0,2.0,14734.0,1634.0,13100.0,0.989,1289.0,23.0,0.917,0.111,0.0
66,1.0,57.0,1.0,2.0,0.0,1.0,2.0,0.0,52.0,5.0,3.0,3.0,6584.0,1817.0,4767.0,0.62,1353.0,35.0,0.667,0.276,1.0
67,1.0,44.0,0.0,2.0,5.0,2.0,4.0,0.0,20.0,6.0,3.0,3.0,2084.0,1468.0,616.0,1.004,1132.0,28.0,0.556,0.704,2.0
71,1.0,55.0,0.0,2.0,2.0,1.0,4.0,0.0,42.0,5.0,3.0,3.0,2216.0,1034.0,1182.0,0.758,1540.0,36.0,0.286,0.467,2.0
72,1.0,54.0,1.0,1.0,2.0,3.0,2.0,0.0,43.0,4.0,2.0,3.0,2910.0,2030.0,880.0,0.769,1256.0,21.0,0.4,0.698,2.0
75,1.0,53.0,1.0,2.0,2.0,2.0,3.0,0.0,36.0,5.0,3.0,2.0,5272.0,1515.0,3757.0,0.857,1289.0,33.0,0.435,0.287,0.0
77,1.0,37.0,0.0,3.0,5.0,2.0,4.0,0.0,29.0,4.0,4.0,2.0,7038.0,1801.0,5237.0,0.751,2339.0,57.0,0.966,0.256,0.0
