,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Cluster
0,1,42,1,5,5,3,0,0,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0
1,1,57,0,2,2,1,4,0,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,2
2,1,45,0,2,2,1,5,0,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,0
3,0,62,0,0,2,1,4,0,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,2
4,1,47,0,4,6,2,4,0,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,2
5,1,54,1,2,6,1,3,0,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0
6,1,41,0,3,2,2,4,0,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,2
7,1,58,1,0,2,1,3,0,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,0
8,1,55,0,1,0,2,4,0,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,2
9,1,38,0,4,2,2,5,0,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0
10,1,52,1,1,0,2,3,0,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,2
11,0,54,0,1,2,1,4,0,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,2
12,0,56,1,2,2,1,0,0,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,0
13,1,49,0,4,2,3,4,0,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,2
14,1,55,1,3,6,1,3,0,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,2
15,1,39,1,1,3,0,2,0,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,0
16,1,53,1,2,3,2,0,0,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,0
17,1,57,1,2,0,1,2,0,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,2
18,1,44,0,2,5,2,4,0,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,2
19,1,55,0,2,2,1,4,0,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,2
20,1,54,1,1,2,3,2,0,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,2
21,1,53,1,2,2,2,3,0,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,2
22,1,37,0,3,5,2,4,0,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,1
23,1,49,1,3,2,0,2,0,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,2
24,0,55,0,4,6,1,1,0,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,2
25,1,59,0,1,2,1,5,0,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,2
26,1,43,0,3,5,2,4,0,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,2
27,1,45,1,1,2,2,1,0,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,2
28,1,53,1,0,2,2,3,0,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,2
29,1,45,1,3,2,1,1,0,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347,2
30,1,53,1,3,1,1,1,0,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,2
31,0,47,1,2,6,1,3,0,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,2
32,1,53,1,3,2,1,0,0,34,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43,2
33,1,43,0,4,4,1,4,0,33,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111,2
34,1,42,1,4,3,0,2,0,36,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.346,0.513,2
35,1,53,0,2,3,1,4,0,44,3,2,3,5362.0,1901,3461.0,0.816,1553,38,1.0,0.355,1
36,1,47,0,3,3,2,1,0,41,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382,0.407,2
37,1,47,1,3,2,2,2,0,36,4,2,2,2926.0,0,2926.0,0.676,1304,24,0.846,0.0,2
38,0,53,1,2,2,1,3,0,41,3,3,2,11669.0,2227,9442.0,0.622,720,23,0.353,0.191,2
39,1,50,0,1,5,3,4,3,36,4,2,2,11888.0,2090,9798.0,0.7,1137,30,0.765,0.176,0
40,1,42,0,1,2,1,4,0,36,5,1,2,2393.0,1985,408.0,0.788,978,16,0.778,0.83,2
41,1,47,1,2,1,2,4,0,37,2,1,3,3235.0,797,2438.0,0.541,1493,32,1.0,0.246,2
42,1,53,1,2,3,0,2,0,36,5,3,2,7753.0,2100,5653.0,0.839,991,26,0.733,0.271,2
43,1,39,0,2,4,2,4,0,27,4,2,2,6205.0,2517,3688.0,0.939,1204,19,0.727,0.406,2
44,0,48,0,5,3,1,4,0,38,1,3,3,8025.0,0,8025.0,0.654,673,18,0.8,0.0,2
45,1,51,1,1,6,2,0,0,42,6,2,3,9036.0,2327,6709.0,0.649,1131,18,0.636,0.258,0
46,1,59,0,1,2,2,4,0,36,3,2,3,6335.0,1128,5207.0,0.397,1217,20,0.667,0.178,2
47,0,59,1,1,0,2,2,0,53,2,3,3,14979.0,0,14979.0,0.71,530,10,1.0,0.0,0
48,0,48,0,4,5,1,4,0,38,3,2,3,2732.0,0,2732.0,0.76,739,16,0.455,0.0,2
49,1,41,1,2,3,1,3,0,24,4,1,3,9366.0,1104,8262.0,0.572,1303,39,0.625,0.118,0
50,1,42,0,5,6,1,1,0,36,3,3,3,2038.0,0,2038.0,0.786,1238,28,0.75,0.0,2
51,1,49,1,1,1,1,0,0,38,6,1,3,9364.0,618,8746.0,0.554,1099,27,0.8,0.066,0
52,1,43,0,4,2,0,4,0,34,2,3,1,3195.0,1954,1241.0,0.971,1285,29,0.706,0.612,2
53,1,56,1,0,3,1,3,0,43,5,2,1,2852.0,1024,1828.0,1.009,1651,28,1.0,0.359,2
54,1,59,0,1,0,2,5,0,36,2,3,3,4224.0,1305,2919.0,0.852,1152,31,0.824,0.309,2
55,1,51,0,3,5,1,4,0,43,3,1,2,2185.0,1761,424.0,0.682,1645,30,0.429,0.806,2
56,1,53,1,3,3,1,2,0,47,5,2,2,1438.3,0,1438.3,0.776,2184,53,0.828,0.0,2
57,1,52,0,1,3,1,4,0,45,6,3,3,6703.0,893,5810.0,0.567,1388,28,0.75,0.133,2
58,0,53,1,2,6,1,3,0,36,2,2,1,3212.0,0,3212.0,0.713,757,20,0.25,0.0,2
59,1,41,0,3,3,1,1,0,36,4,1,2,9797.0,1434,8363.0,0.644,1503,34,0.478,0.146,0
60,1,45,0,5,2,0,1,0,36,5,2,2,10400.0,1777,8623.0,0.791,1105,28,0.867,0.171,0
61,1,59,0,1,5,1,1,0,36,4,2,3,3356.0,985,2371.0,0.35,999,28,0.556,0.294,2
62,1,51,1,3,2,1,3,0,36,6,2,3,11106.0,2107,8999.0,0.948,1243,24,1.0,0.19,0
63,1,49,0,3,5,2,5,0,38,6,2,1,12860.0,0,12860.0,0.646,1348,27,0.286,0.0,0
64,1,50,0,2,3,1,4,0,36,5,1,2,9355.0,1626,7729.0,0.701,1230,28,0.867,0.174,0
65,1,57,0,3,2,1,4,0,47,4,2,3,6347.0,1594,4753.0,0.896,1771,37,0.762,0.251,2
66,1,51,0,5,4,1,4,0,44,5,1,1,3449.0,1598,1851.0,0.971,1679,42,0.556,0.463,1
67,1,47,0,3,3,1,4,0,34,2,1,2,6028.0,799,5229.0,0.819,1002,22,0.571,0.133,2
68,1,41,1,0,3,3,0,0,36,3,2,3,18214.0,1998,16216.0,0.829,1344,21,1.1,0.11,0
69,0,68,1,0,3,1,4,0,52,1,3,2,1438.3,900,538.3,0.743,760,21,0.615,0.626,2
70,1,43,0,1,3,0,4,3,35,3,2,2,10514.0,1580,8934.0,0.504,1229,27,0.8,0.15,0
71,0,55,0,2,2,1,4,0,43,2,4,3,1438.3,0,1438.3,0.707,886,27,0.421,0.0,2
72,0,59,1,2,4,1,2,0,46,3,3,3,1438.3,0,1438.3,0.688,844,24,0.5,0.0,2
73,1,53,0,2,3,1,4,0,36,4,1,2,2377.0,1649,728.0,0.93,1378,26,1.167,0.694,1
74,1,52,1,3,2,1,0,0,47,5,3,3,11086.0,2207,8879.0,0.869,1523,40,1.105,0.199,0
75,1,48,1,3,3,2,2,0,36,4,2,2,11432.0,2517,8915.0,0.615,1374,37,0.762,0.22,0
76,1,48,1,2,0,2,4,0,36,3,2,3,2571.0,1955,616.0,0.531,1234,24,0.714,0.76,2
77,1,44,1,4,6,1,2,0,30,5,1,2,7872.0,2509,5363.0,0.971,1155,32,0.882,0.319,0
78,1,48,0,3,2,0,1,0,39,6,2,3,2115.0,1141,974.0,0.616,1223,20,0.538,0.539,2
79,1,44,0,2,2,0,4,0,27,5,2,2,1438.3,679,759.3,0.859,1117,29,1.071,0.472,1
80,1,45,1,3,0,2,2,0,32,4,1,2,1438.3,0,1438.3,0.81,1468,26,0.625,0.0,2
81,1,47,0,2,5,0,4,3,34,6,4,2,13878.0,2222,11656.0,0.853,1658,38,0.357,0.16,0
82,1,51,0,2,2,1,4,0,36,3,1,3,3106.0,1304,1802.0,0.604,1368,38,0.407,0.42,2
83,0,60,0,1,5,1,1,0,50,4,4,3,1438.3,1025,413.3,0.838,702,12,0.714,0.713,2
84,1,41,1,5,2,2,0,0,29,5,2,2,5207.0,1748,3459.0,1.073,1310,26,1.0,0.336,0
85,1,44,1,3,4,0,3,0,36,6,2,2,17965.0,1644,16321.0,0.921,1767,50,0.923,0.092,0
86,1,43,1,1,0,2,2,0,37,6,3,3,2733.0,1819,914.0,0.767,933,25,0.923,0.666,2
87,0,52,1,1,5,1,3,0,36,2,3,3,1857.0,1833,24.0,0.723,829,17,0.7,0.987,2
88,1,41,1,2,5,1,1,0,30,5,3,3,11107.0,1222,9885.0,0.538,1506,33,0.941,0.11,0
89,0,53,0,2,6,1,4,0,33,2,3,3,2859.0,2517,342.0,0.993,817,30,0.667,0.88,2
90,1,39,1,2,3,2,3,0,36,4,2,2,5269.0,1475,3794.0,1.148,2094,25,0.667,0.28,2
91,0,49,1,5,0,1,1,0,45,2,2,3,1438.3,0,1438.3,0.734,815,21,0.615,0.0,2
92,0,45,0,2,0,1,4,0,36,1,3,2,3387.0,0,3387.0,0.789,510,24,0.6,0.0,2
93,1,54,1,2,2,1,3,0,46,6,2,3,1982.0,1289,693.0,0.939,1377,49,0.69,0.65,2
94,1,49,1,3,5,2,3,0,43,2,2,2,4645.0,1650,2995.0,0.912,1193,33,0.65,0.355,2
95,1,46,0,3,1,2,5,0,36,6,3,2,2189.0,1666,523.0,0.343,1287,36,0.636,0.761,2
96,0,46,1,4,3,1,0,0,30,3,3,3,2442.0,0,2442.0,0.98,701,19,0.727,0.0,2
97,1,50,1,3,4,2,0,0,31,4,1,2,3234.0,1486,1748.0,0.868,1354,28,0.647,0.459,2
98,1,56,1,3,6,3,1,0,46,6,3,4,2910.0,709,2201.0,0.538,1192,27,0.588,0.244,2
99,0,59,1,0,3,2,1,0,48,2,4,3,3616.0,1054,2562.0,0.616,687,17,0.545,0.291,2
100,1,45,1,1,5,2,0,0,39,4,2,2,3133.0,1510,1623.0,0.609,1435,38,0.462,0.482,2
101,1,40,1,1,2,1,1,0,23,6,3,2,6990.0,1378,5612.0,0.73,1479,29,0.611,0.197,2
102,0,59,0,0,4,1,1,0,40,1,4,1,1438.3,0,1438.3,1.038,689,23,0.353,0.0,2
103,1,51,0,2,2,1,4,0,46,5,2,2,5207.0,1650,3557.0,0.708,1339,20,0.538,0.317,2
104,0,64,0,0,3,1,1,0,53,1,3,3,3353.0,0,3353.0,1.021,960,18,0.385,0.0,2
105,1,48,1,3,6,2,1,0,43,6,1,3,5279.0,1115,4164.0,0.549,1642,41,0.519,0.211,2
106,1,57,1,0,5,1,1,0,45,6,2,2,2601.0,0,2601.0,0.814,1232,32,0.684,0.0,2
107,1,41,1,3,3,2,3,0,36,4,3,3,8029.0,1576,6453.0,0.826,1094,32,0.524,0.196,2
108,1,42,0,4,5,1,4,0,31,2,2,2,2410.0,1769,641.0,0.759,1217,30,1.143,0.734,1
